Theta	 Precision	 Recall	 Hits	 TPR	 FPR
-4.000000	0.010890	1.000000	0.880000	1.000000	0.696203
0.000000	0.010890	1.000000	0.880000	1.000000	0.696203
4.000000	0.122018	0.947879	0.880000	1.000000	0.696203
8.000000	0.224523	0.929263	0.880000	1.000000	0.696203
12.000000	0.295889	0.907107	0.880000	1.000000	0.696203
16.000000	0.528135	0.883132	0.880000	1.000000	0.696203
20.000000	0.619449	0.856319	0.880000	1.000000	0.696203
24.000000	0.641530	0.828579	0.880000	1.000000	0.696203
28.000000	0.657274	0.799312	0.855000	0.958678	0.696203
32.000000	0.672993	0.768846	0.800000	0.867769	0.696203
36.000000	0.688452	0.736354	0.745000	0.776860	0.696203
40.000000	0.703992	0.701599	0.665000	0.644628	0.696203
44.000000	0.718846	0.665239	0.580000	0.504132	0.696203
48.000000	0.738748	0.627785	0.500000	0.371901	0.696203
52.000000	0.750190	0.592359	0.485000	0.347107	0.696203
56.000000	0.763746	0.558187	0.445000	0.280992	0.696203
60.000000	0.781885	0.529913	0.430000	0.256198	0.696203
64.000000	0.795316	0.504895	0.405000	0.214876	0.696203
68.000000	0.828355	0.484234	0.400000	0.206612	0.696203
72.000000	0.846547	0.469376	0.385000	0.181818	0.696203
76.000000	0.874849	0.458003	0.385000	0.181818	0.696203
80.000000	0.888125	0.450816	0.385000	0.181818	0.696203
